worker_id,gender,household_income,household_size,location_country,marital_status,year_of_birth,count,participation
e232de52adf95c1bc48b53730f8e6054,male,"$25,000-$39,999",2,US,married,1988,1,1
3b2f5a77d26e2d3e0f8385309991c9f7,male,"$10,000-$14,999",1,US,divorced,1985,1,1
6123a30cd72b1c1d6faa9d2a13451d47,female,"$25,000-$39,999",3,US,divorced,1982,1,2
7de3c6385f4fb3d78be89b693db121df,male,"Less than $10,000",3,IN,single,1975,18,26
daf67758ac2b0670464b5a4b50fb4577,male,"$25,000-$39,999",3,MX,single,1985,1,5
7eb3731e8464d292e17e3c5aa34f3713,male,"Less than $10,000",3,IN,single,1985,6,16
a2e61fbea11b5cded7a9ee89daf0dafc,female,"$15,000-$24,999",1,US,single,1963,9,10
98b1f758a4453b83dc269ade376aa64a,male,"$15,000-$24,999",3,IT,single,1996,1,1
0f55fc6dd160200dbaeb71978355d13a,male,"$25,000-$39,999",3,US,married,1986,1,1
0fa9955d9dffe8ff84d448cd1f89ddb4,female,"$60,000-$74,999",1,US,single,1974,1,1
934ec2def14eae1521e6bf729aa52cd1,male,"Less than $10,000",4,IN,single,1992,1,1
17a4214755dc640c5de547220f9756fe,male,"Less than $10,000",5+,IN,single,1983,1,1
adf8eb92f56cbdfe735b81c9e87822e7,male,"$15,000-$24,999",1,US,single,1991,3,3
5b5fa78ece88da4a6f02f80d8d35e3de,female,"$40,000-$59,999",4,US,divorced,1973,1,6
67bb71b91307ec846dd28f1ef731ebcc,female,"$100,000 or more",2,US,married,1981,1,1
a2943759f6609903204cc569e14703c9,female,"$60,000-$74,999",5+,US,married,1975,5,6
ea7989902fd8d5b47d97408b67208afa,female,"$15,000-$24,999",3,US,single,1995,1,6
94f1c4a72c7d9677593e4bef91aec438,female,"$25,000-$39,999",3,US,married,1989,1,1
f873aebcc4e87681593dbe87a4c4eaf9,male,"Less than $10,000",4,IN,single,1998,1,12
200358936a5a273bba11c58e5cbb843a,male,"$15,000-$24,999",2,US,married,1981,4,4
21cec88f0723684d93eabb673b4b77bb,female,"$40,000-$59,999",1,US,single,1991,1,2
b1324971cde276a1f58a1c468519cfd1,female,"$75,000-$99,999",5+,US,married,1987,1,1
ea49b20b70b48a2e0bf5abf92faa2bfd,female,"$25,000-$39,999",3,US,engaged,1989,2,3
c4a7dfd3f9f33c6931ec6b1d1f8860c9,female,"$75,000-$99,999",5+,US,married,1970,5,5
c4190488fc224f238dd90a9fa1ebfb2b,male,"$25,000-$39,999",1,US,single,1989,1,6
6fefb3dd80a208680756430e5e5821f8,male,"$25,000-$39,999",3,US,married,1990,1,1
6cd4872b7e82706dae88b2fc9f77b86a,male,"$10,000-$14,999",4,IN,single,1991,1,3
00722c50e576e4dcf334abb6e59cb507,female,"$15,000-$24,999",1,US,single,1991,1,1
092ce49533cb3cb90cdc7e0c6b8332b7,male,"Less than $10,000",5+,IN,married,1988,1,2
419da9b02d3e58f15498a3c425a0bd0d,male,"$40,000-$59,999",4,BE,single,1994,1,1
167d3689cfa74ee5577bdc7242e8e1b4,female,"$40,000-$59,999",3,IN,married,1985,1,3
7a731462f083e34a0f3ebc3ed737cc91,male,"$15,000-$24,999",2,IN,married,1978,1,5
4701ced1b79f1c7af905227b3e0338a4,female,"$25,000-$39,999",1,US,divorced,1941,2,2
f86b7e419e99af8ec5298bc5344a2f83,male,"$15,000-$24,999",2,US,cohabitating,1985,1,1
66d19a81719ba09fa1a29d6ad3e321a0,male,"$15,000-$24,999",5+,SI,engaged,1997,1,1
16466d12eaa090b21acc254f89a43827,male,"$15,000-$24,999",2,US,cohabitating,1992,1,2
885df6e7170394810a6d3e9974519986,male,"$100,000 or more",5+,US,single,1994,2,2
285be1bd1dd7a37f5a71439608a60daa,female,"$60,000-$74,999",5+,US,single,1994,1,1
c613f84e28c6ddb9f852bdd0b79dc369,female,"$25,000-$39,999",3,US,single,1990,1,1
208323d91ef0368681d510f6b92f4c03,female,"$15,000-$24,999",3,US,married,1982,1,1
e7be3301bff45dd1ec1ada9b07a3a3a7,male,"$40,000-$59,999",2,US,married,1988,2,2
1feec9e6d98f8b4db83abea964341f86,male,"$25,000-$39,999",3,IN,married,1978,1,3
320876117a82188ca856a923422f1cd0,female,"Less than $10,000",4,IN,married,1974,3,12
fbced0ae0e0bda913f8046a03df4cfa2,female,"$25,000-$39,999",1,US,single,1983,1,1
386927ab2d1a3bc5b7d4634776e1dc34,male,"$25,000-$39,999",1,US,single,1986,1,1
d0efa52d6bea111274fd8085fc735aab,male,"$75,000-$99,999",4,US,single,1993,1,1
fe9a30bab2c1a4d813b8ec7e79571cac,male,"$60,000-$74,999",2,US,married,1990,1,1
99afb174b5403425503ab8cc574db79d,female,"Less than $10,000",1,US,widowed,1948,1,9
dd764a9a3d123cc6a532361328ef3f2e,female,"$100,000 or more",3,US,married,1982,1,1
ab42fb4410619113d109dd671339ca0a,female,"$75,000-$99,999",3,US,single,1988,1,1
3842e4b1aec6d5352dda72b64c7abbe4,male,"$40,000-$59,999",1,US,single,1991,1,1
0f27cc3cb564b35c9d6687cfada032b1,male,"Less than $10,000",1,US,single,1990,1,3
5794c2d69b0e5d55eb5d725997db238a,female,"$100,000 or more",2,US,married,1967,2,2
57cbaedd771579e66a39a08ee33e143f,female,"$15,000-$24,999",2,US,married,1957,2,2
809e8e6ce8655a7ad9989e5557be42e8,male,"$75,000-$99,999",3,US,single,1984,1,1
c644e302632f331c7705e64f526a58a7,male,"Less than $10,000",2,US,divorced,1976,1,1
f0a5d67626f736c8f271f9bc0bee9b38,female,"$60,000-$74,999",5+,US,cohabitating,1986,1,4
2c725efc203013ead7f6c95f176b0495,male,"$60,000-$74,999",5+,US,single,1991,1,1
58581193e1ec24bce31c6874769ba923,male,"$40,000-$59,999",1,US,single,1990,3,8
801819adf1161c2fc4f1f8e43bebb02c,female,"$40,000-$59,999",1,US,single,1993,1,1
6b823b9f7b152ae13bb6a9cb61796c5b,female,"$100,000 or more",4,US,single,1997,2,2
60f6b5ced21573d1309d3c38679899e5,female,"$75,000-$99,999",5+,US,married,1992,3,7
d38d29c846aed97e09602ff787f203bd,male,"$25,000-$39,999",1,US,single,1985,3,13
5a4a3eefeec57d646070a31efecb5326,male,"$40,000-$59,999",2,BE,married,1980,1,2
27120cc06fdd592efa4921e04e5d5330,female,"$40,000-$59,999",5+,US,cohabitating,1988,2,4
523e935d24afd6d3ebc290f5725e125b,male,"Less than $10,000",2,US,married,1980,1,1
21bf3fc63a6ae7afe3af304e9d121fdf,female,"$60,000-$74,999",4,US,married,1977,1,1
8831dbbce05fb89506ef6fd815622c5e,female,"$15,000-$24,999",5+,IN,single,1995,1,1
0dfc245edd5b07dd42be66d441a3bf31,female,"$75,000-$99,999",4,IN,married,1985,2,2
